Tommy,Robinson,Natalie Grace Home,www.nataliegracehome.com,Mixed media - non juried,602
Robert,Rodenberger,Jazzy Artz Inc,http://www.jazzyartz.com ,Mixed media - non juried,465
carol,salomon,,www.carolsalomon.com ,Mixed media - non juried,464
Misti ,Schneidewind,Recycled Art Company,www.recycledartco.com ,Mixed media - non juried,"488,490"
Ashley,Skinner,Relax Wraps,www.Relaxwraps.com,Mixed media - non juried,474
Erin,Smith,Erin Smith Art,www.erinsmithart.com ,Mixed media - non juried,484
deidra,smith,blue frog art,www.bluefrogart.com ,Mixed media - non juried,583
Jeremy,Townsend,,www.iamjert.com ,Mixed media - non juried,617
Emily,Vickers,Created by Emily,www.createdbyemily.com ,Mixed media - non juried,552
Stephen,Webber,,,Mixed media - non juried,587
Lala,Wellem,,www.LauraWellem.com ,Mixed media - non juried,449
Marsha,Younce,Josie's BackYard,www.josiesbackyard.com,Mixed media - non juried,601
Priscilla,Benitez,Peach or Plum?,www.peachorplum.com,Painting - non juried,317
Matt,Bolton,Matt Bolton Art,www.facebook.com/mattboltonart ,Painting - non juried,557
tim,boyd,timboydart ,www.timboydart.com,Painting - non juried,534
Sergey,Cherep,SR Cherep Art Studios,www.sergeycherep.com ,Painting - non juried,365
Michael,Denier,,www.mikedenierart.com ,Painting - non juried,581
Jennifer,Friedman,Jennifer Friedman Art,www.jenniferfriedmanart.com ,Painting - non juried,368
Jessica,Holt,Junk Starlet by Tigerlily,,Painting - non juried,508
Jay,Hornsby,The Belligerent Monkey,www.belligerentmonkey.com ,Painting - non juried,445
Paul,Kyegombe,Kyegombe Fine Art Gallery,www.kyegombe.com ,Painting - non juried,351
Maria,Laguardia,,,Painting - non juried,336
manami,Lingerfelt,manamiart,www.manamiart.com,Painting - non juried,606
Katie,Phillips,Katie Phillips Fine Art,https://www.katiephillipsart.com ,Painting - non juried,422
Kristen,Ramsey,Sign Me Up Signs & Art,www.signmeupsigns.etsy.com,Painting - non juried,379
